# frequency power
1.648261083596347731e+01 2.820264540146063051e-02
1.977913300315617207e+01 4.246408032038889030e-02
2.307565517034886682e+01 4.429116845151943871e-02
2.637217733754156512e+01 2.959044249586370925e-02
2.966869950473425988e+01 9.194007509447909773e-03
3.296522167192695463e+01 7.326887903719598314e-04
3.626174383911965293e+01 1.410683765996699826e-02
3.955826600631235124e+01 3.713297830855413068e-02
4.285478817350504244e+01 5.360973906901328467e-02
4.615131034069773364e+01 5.365848452066102059e-02
4.944783250789043194e+01 3.612541643210376990e-02
5.274435467508313025e+01 1.607017226984216313e-02
5.604087684227582855e+01 7.926213562824798581e-03
5.933739900946851975e+01 9.314598857505497487e-03
6.263392117666121806e+01 1.375543812365056552e-02
6.593044334385390925e+01 1.738814570470020512e-02
6.922696551104661467e+01 1.915512829346769155e-02
7.252348767823930586e+01 2.169423354411106550e-02
7.582000984543199706e+01 2.858674817196496173e-02
7.911653201262470247e+01 4.113529840421548123e-02
8.241305417981737946e+01 5.531622043202050892e-02
8.570957634701008487e+01 5.952786186441750421e-02
8.900609851420279028e+01 4.430652271279394289e-02
9.230262068139546727e+01 1.750780597816726722e-02
9.559914284858817268e+01 3.099750310489608057e-03
9.889566501578087809e+01 2.607036412607956211e-02
1.021921871829735551e+02 9.029356897935354731e-02
1.054887093501662605e+02 1.687513510060438260e-01
1.087852315173589659e+02 2.232596426024251179e-01
1.120817536845516429e+02 2.275946893022456619e-01
1.153782758517443483e+02 2.011544498066400177e-01
1.186747980189370537e+02 1.950833168795591821e-01
1.219713201861297307e+02 2.116157176510890248e-01
1.252678423533224361e+02 2.068714985952214147e-01
1.285643645205151415e+02 1.712701114381097456e-01
1.318608866877078185e+02 1.237842269869562778e-01
1.351574088549005239e+02 8.757074731578827487e-02
1.384539310220932293e+02 9.585902036143680027e-02
1.417504531892859063e+02 1.430896629543777221e-01
1.450469753564786117e+02 1.739753336209798884e-01
1.483434975236712887e+02 1.518491032346158121e-01
1.516400196908639941e+02 9.107922634130151407e-02
1.549365418580566995e+02 3.142715355095328233e-02
1.582330640252493765e+02 2.610785726560134121e-03
1.615295861924420819e+02 5.879498111435552989e-03
1.648261083596347873e+02 2.154782201935694086e-02
1.681226305268274643e+02 3.115085149905946066e-02
1.714191526940201697e+02 3.381046369562079601e-02
1.747156748612128752e+02 3.421013826919956646e-02
1.780121970284055521e+02 2.900924812868092839e-02
1.813087191955982576e+02 1.705048491614242351e-02
1.846052413627909345e+02 4.307923371379707329e-03
1.879017635299836400e+02 8.546975975407146821e-04
1.911982856971763454e+02 1.342571714848117027e-02
1.944948078643690224e+02 3.160583519047824308e-02
1.977913300315617278e+02 3.871028277094819975e-02
2.010878521987544332e+02 3.133606043749091741e-02
2.043843743659471102e+02 1.827145780102993125e-02
2.076808965331398156e+02 1.438095592695837026e-02
2.109774187003325210e+02 2.718110338874925314e-02
2.142739408675251980e+02 4.551395825154728320e-02
2.175704630347179034e+02 5.293421219698984242e-02
2.208669852019106088e+02 4.540851797541432811e-02
2.241635073691032858e+02 3.218151158226340014e-02
2.274600295362959912e+02 2.308375188596337863e-02
2.307565517034886966e+02 1.918001397112591155e-02
2.340530738706813736e+02 1.631965375340137248e-02
2.373495960378740790e+02 1.131390394438473029e-02
2.406461182050667844e+02 4.892849207685555715e-03
2.439426403722594614e+02 8.178633392099561843e-04
2.472391625394521668e+02 8.705370515598597923e-04
2.505356847066448722e+02 3.420100026270655059e-03
2.538322068738375492e+02 6.175132844292834274e-03
2.571287290410302830e+02 8.429176541572469192e-03
2.604252512082229600e+02 1.150066836505540466e-02
2.637217733754156370e+02 1.687278133492200669e-02
2.670182955426083709e+02 2.364429876061182115e-02
2.703148177098010478e+02 2.840594558931545596e-02
2.736113398769937817e+02 2.746070545800452511e-02
2.769078620441864587e+02 1.968296091496303871e-02
2.802043842113791356e+02 8.722924877452161233e-03
2.835009063785718695e+02 1.166642502144151850e-03
2.867974285457645465e+02 1.164051531190732390e-03
2.900939507129572235e+02 6.706830784388527651e-03
2.933904728801499573e+02 1.131096807775877448e-02
2.966869950473426343e+02 1.103745774365120363e-02
2.999835172145353113e+02 7.935463821065837087e-03
3.032800393817280451e+02 6.062606362229770382e-03
3.065765615489207221e+02 6.513675206420468412e-03
3.098730837161133991e+02 6.100164490054700746e-03
3.131696058833061329e+02 2.553656276351316465e-03
3.164661280504988099e+02 7.248034173918174988e-05
3.197626502176914869e+02 5.920653638826631031e-03
3.230591723848842207e+02 2.050081686608693290e-02
3.263556945520768977e+02 3.314287639037943184e-02
3.296522167192695747e+02 3.279313286428831020e-02
3.329487388864623085e+02 1.941283289205791504e-02
3.362452610536549855e+02 4.317531365175087538e-03
3.395417832208476625e+02 2.192519265208373470e-03
3.428383053880403395e+02 1.636005456050130744e-02
3.461348275552330733e+02 3.431549918830071461e-02
3.494313497224257503e+02 4.175405476561636076e-02
3.527278718896184273e+02 3.443033226351564779e-02
3.560243940568111611e+02 1.927688917967991175e-02
3.593209162240038381e+02 6.827766159362385137e-03
3.626174383911965151e+02 1.394509720510228243e-03
3.659139605583892489e+02 4.415044312091487982e-04
3.692104827255819259e+02 7.918960317916784973e-04
3.725070048927746029e+02 2.307377999191599464e-03
3.758035270599673368e+02 5.921336145971084312e-03
3.791000492271600137e+02 1.046887463616615228e-02
3.823965713943526907e+02 1.304084911085164056e-02
3.856930935615454246e+02 1.151199520006541792e-02
3.889896157287381016e+02 6.973775804730376719e-03
3.922861378959307785e+02 2.867807653096043387e-03
3.955826600631235124e+02 1.086228525461605714e-03
3.988791822303161894e+02 9.549850021552610960e-04
4.021757043975088664e+02 1.283988335285994294e-03
4.054722265647016002e+02 1.662629916982224414e-03
4.087687487318942772e+02 1.926534419231901510e-03
4.120652708990869542e+02 1.659978667804791605e-03
4.153617930662796880e+02 7.540032658394389469e-04
4.186583152334723650e+02 3.303230461666550682e-04
4.219548374006650420e+02 2.249796870541654475e-03
4.252513595678577758e+02 6.793121770965677639e-03
4.285478817350504528e+02 1.157686215925406853e-02
4.318444039022431298e+02 1.306246590787993496e-02
4.351409260694358636e+02 9.821637522834540668e-03
4.384374482366285406e+02 4.340077909233895984e-03
4.417339704038212176e+02 1.005191700019749312e-03
4.450304925710139514e+02 3.013947449691772862e-03
4.483270147382066284e+02 9.753035109714851963e-03
4.516235369053993054e+02 1.679743447497411904e-02
4.549200590725920392e+02 1.903953433906809337e-02
4.582165812397847162e+02 1.410903790866363354e-02
4.615131034069773932e+02 5.314015622592233035e-03
4.648096255741701270e+02 2.600406350524719912e-04
4.681061477413628040e+02 4.903111766473420251e-03
4.714026699085554810e+02 1.808312447409556392e-02
4.746991920757482148e+02 3.093125657954275826e-02
4.779957142429408918e+02 3.437543321222069626e-02
4.812922364101335688e+02 2.628259868488658571e-02
4.845887585773263027e+02 1.232868663821081422e-02
4.878852807445189796e+02 2.211505037663013228e-03
4.911818029117116566e+02 9.111675117267634474e-04
4.944783250789043905e+02 4.890193552012808871e-03
4.977748472460970675e+02 7.977916887416867248e-03
5.010713694132897444e+02 7.043769327480782147e-03
5.043678915804824783e+02 3.641091474167541548e-03
5.076644137476751553e+02 1.063250224318077744e-03
5.109609359148678323e+02 2.549760889048129477e-04
5.142574580820605661e+02 3.742341825936306267e-04
5.175539802492531862e+02 1.514715718061020394e-03
5.208505024164459201e+02 4.806597914070430584e-03
5.241470245836386539e+02 9.622685101337093844e-03
5.274435467508312740e+02 1.253993284835585968e-02
5.307400689180240079e+02 1.034523232597148353e-02
5.340365910852166280e+02 4.221468271328189872e-03
5.373331132524093618e+02 1.945000696802895988e-04
5.406296354196020957e+02 4.278703335413001213e-03
5.439261575867947158e+02 1.623249042767141090e-02
5.472226797539874497e+02 2.806980089648072191e-02
5.505192019211801835e+02 3.138869416814140528e-02
5.538157240883728036e+02 2.513663302509581282e-02
5.571122462555655375e+02 1.428721731163082841e-02
5.604087684227582713e+02 5.180288212253749205e-03
5.637052905899508914e+02 1.164664829464679384e-03
5.670018127571436253e+02 7.117880342092449027e-04
5.702983349243363591e+02 1.063310530579600691e-03
5.735948570915289793e+02 1.434890677729116831e-03
5.768913792587217131e+02 2.567311971747682393e-03
5.801879014259144469e+02 4.474698066533186122e-03
5.834844235931070671e+02 5.380905440028117305e-03
5.867809457602998009e+02 3.976619868945747635e-03
5.900774679274925347e+02 1.619713548803894529e-03
5.933739900946851549e+02 1.658909306944134684e-03
5.966705122618778887e+02 5.673572102480877941e-03
5.999670344290706225e+02 1.111746509264774189e-02
6.032635565962632427e+02 1.394871200025545911e-02
6.065600787634559765e+02 1.204194978597428710e-02
6.098566009306487103e+02 6.753807969013402197e-03
6.131531230978413305e+02 1.878842368743777625e-03
6.164496452650340643e+02 2.003456263217779092e-04
6.197461674322267982e+02 1.390441137846227127e-03
6.230426895994194183e+02 3.335518565534070518e-03
6.263392117666121521e+02 4.972143931800745119e-03
6.296357339338048860e+02 6.402531420823110234e-03
6.329322561009975061e+02 7.427659495945246326e-03
6.362287782681902399e+02 7.153647569781000116e-03
6.395253004353829738e+02 4.738749000787857192e-03
6.428218226025755939e+02 1.467571512894196928e-03
6.461183447697683278e+02 3.103997308756046604e-04
6.494148669369610616e+02 2.591956894209085545e-03
6.527113891041536817e+02 6.213960046968377247e-03
6.560079112713464156e+02 7.505620826510383745e-03
6.593044334385390357e+02 5.213028357740223488e-03
6.626009556057317695e+02 1.706591352060901623e-03
6.658974777729245034e+02 4.982631473440283457e-04
6.691939999401171235e+02 2.604035412387964692e-03
6.724905221073098573e+02 5.583323536958147496e-03
6.757870442745025912e+02 6.713314449230720071e-03
6.790835664416952113e+02 5.272159432062260322e-03
6.823800886088879452e+02 2.779392295606757709e-03
6.856766107760806790e+02 1.211733957981069249e-03
6.889731329432732991e+02 1.650805597759939618e-03
6.922696551104660330e+02 5.164528827544704465e-03
6.955661772776587668e+02 1.168954521609292391e-02
6.988626994448513869e+02 1.960617279364252133e-02
7.021592216120441208e+02 2.525737368920611195e-02
7.054557437792368546e+02 2.395321946128923726e-02
7.087522659464294748e+02 1.590677508181603111e-02
7.120487881136222086e+02 6.386310235866196443e-03
7.153453102808149424e+02 7.078201198903841425e-04
7.186418324480075626e+02 7.466336679717175623e-04
7.219383546152002964e+02 3.426298224185925397e-03
7.252348767823930302e+02 5.478795692432480990e-03
7.285313989495856504e+02 6.520684511573246120e-03
7.318279211167783842e+02 7.467392673752279442e-03
7.351244432839711180e+02 8.369899473798601136e-03
7.384209654511637382e+02 7.034388292317136568e-03
7.417174876183564720e+02 3.268979286569490342e-03
7.450140097855492058e+02 2.163268986115625663e-03
7.483105319527418260e+02 9.846417781025514765e-03
7.516070541199345598e+02 2.491403255422548063e-02
7.549035762871272937e+02 3.650826569273056543e-02
7.582000984543199138e+02 3.637230852416323962e-02
7.614966206215126476e+02 2.546510029878580605e-02
7.647931427887053815e+02 1.166151956362956876e-02
7.680896649558980016e+02 4.524202617289290601e-03
7.713861871230907354e+02 6.673480368504628585e-03
7.746827092902834693e+02 1.222199309967162383e-02
7.779792314574760894e+02 1.345502190458668437e-02
7.812757536246688232e+02 8.363222141689568082e-03
7.845722757918615571e+02 2.473904458275535869e-03
7.878687979590541772e+02 7.042538261953602081e-05
7.911653201262469111e+02 4.837226509782291276e-04
7.944618422934396449e+02 1.259610739216971689e-03
7.977583644606322650e+02 1.262244027134583682e-03
8.010548866278249989e+02 1.373711339496074381e-03
8.043514087950177327e+02 1.739921205776962269e-03
8.076479309622103528e+02 1.718519161051210511e-03
8.109444531294030867e+02 1.109633059203543820e-03
8.142409752965958205e+02 1.040017977962664911e-03
8.175374974637884407e+02 3.873392634245496208e-03
8.208340196309811745e+02 1.088741222188590804e-02
8.241305417981739083e+02 1.915532780539282165e-02
8.274270639653665285e+02 1.854986056250541165e-02
8.307235861325592623e+02 1.249933741790075145e-02
8.340201082997519961e+02 1.250924539241934919e-02
8.373166304669446163e+02 2.495318765281301712e-02
8.406131526341373501e+02 5.444352904379190635e-04
8.439096748013300839e+02 3.861488333723145198e-03
8.472061969685227041e+02 9.527490345283377848e-03
8.505027191357154379e+02 1.978967565731109407e-02
8.537992413029081717e+02 2.436991422350726771e-02
8.570957634701007919e+02 1.820792457466780326e-02
8.603922856372935257e+02 9.972525361882738498e-03
8.636888078044862596e+02 3.687772730268292203e-03
8.669853299716788797e+02 4.313894788221878042e-04
8.702818521388716135e+02 1.149732205285514597e-03
8.735783743060643474e+02 2.895208166626092941e-03
8.768748964732569675e+02 4.162823747076016892e-03
8.801714186404497013e+02 5.252874535504901965e-03
8.834679408076424352e+02 6.416327645335106848e-03
8.867644629748350553e+02 7.149744790059351686e-03
8.900609851420277892e+02 4.661148081977753085e-03
8.933575073092205230e+02 6.702131022092196189e-04
8.966540294764131431e+02 1.302381434121298830e-03
8.999505516436058770e+02 9.239024051369622292e-03
9.032470738107986108e+02 1.972799322324092497e-02
9.065435959779912309e+02 2.453496422945500993e-02
9.098401181451839648e+02 2.002882640129396985e-02
9.131366403123766986e+02 1.059810277262662227e-02
9.164331624795693187e+02 7.126394535535334265e-03
9.197296846467620526e+02 1.569773146603969938e-02
9.230262068139547864e+02 2.801191443905665795e-02
9.263227289811474066e+02 3.271251940445857320e-02
9.296192511483401404e+02 2.619394067555939204e-02
9.329157733155328742e+02 1.351249338757790942e-02
9.362122954827254944e+02 3.387698734452338975e-03
9.395088176499182282e+02 1.847365789628374375e-05
9.428053398171109620e+02 1.198106331894557407e-03
9.461018619843035822e+02 3.014283883160446230e-03
9.493983841514963160e+02 4.286105746279739517e-03
9.526949063186890498e+02 6.215818785301495397e-03
9.559914284858816700e+02 8.207538169306192663e-03
9.592879506530744038e+02 8.312942883976201514e-03
9.625844728202671376e+02 5.912006193324727786e-03
9.658809949874597578e+02 3.099995479827661899e-03
9.691775171546524916e+02 3.272143616816105497e-03
9.724740393218452255e+02 6.982260949368738687e-03
9.757705614890378456e+02 1.122576334336618589e-02
9.790670836562305794e+02 1.261011483810647697e-02
9.823636058234233133e+02 1.065420366743930966e-02
9.856601279906159334e+02 7.085585158104873091e-03
9.889566501578086672e+02 3.538069143961097406e-03
9.922531723250014011e+02 1.437892704787869201e-03
9.955496944921940212e+02 1.480652516896740958e-03
9.988462166593867551e+02 3.809869128550972400e-03
1.002142738826579489e+03 7.583120857488434910e-03
1.005439260993772109e+03 1.006954286177199481e-02
1.008735783160964843e+03 9.153025223877496799e-03
1.012032305328157577e+03 5.203920894334996584e-03
1.015328827495350197e+03 1.172500827760619094e-03
1.018625349662542931e+03 4.849929233943736130e-04
1.021921871829735665e+03 3.099004890639583606e-03
1.025218393996928398e+03 5.826234099272155180e-03
1.028514916164121132e+03 5.874789931917793855e-03
1.031811438331313866e+03 3.375010943490381644e-03
1.035107960498506372e+03 9.619487671442049446e-04
1.038404482665699106e+03 7.385380733877557882e-04
1.041701004832891840e+03 2.291573657475387375e-03
1.044997527000084574e+03 3.894418655686664003e-03
1.048294049167277080e+03 4.901791843771551721e-03
1.051590571334469814e+03 5.611829183058681531e-03
1.054887093501662548e+03 5.924867772370744946e-03
1.058183615668855282e+03 5.067337979798310077e-03
1.061480137836048016e+03 2.579196624457284238e-03
1.064776660003240750e+03 3.056258687287165829e-04
1.068073182170433256e+03 1.519199631028877963e-03
1.071369704337625990e+03 7.392415880188985336e-03
1.074666226504818724e+03 1.479774809837894334e-02
1.077962748672011458e+03 1.830744400323860294e-02
1.081259270839204191e+03 1.543593271913668713e-02
1.084555793006396925e+03 8.398591703567135497e-03
1.087852315173589432e+03 2.033526668988957023e-03
1.091148837340782165e+03 1.295638380708299302e-04
